country,value
Lebanon_buddhists,5000
Lesotho_buddhists,5000
Liberia_buddhists,5000
Libya_buddhists,20000
Liechtenstein_buddhists,5000
Lithuania_buddhists,5000
Luxembourg_buddhists,5000
Macau_buddhists,90000
Madagascar_buddhists,5000
Malawi_buddhists,5000
Malaysia_buddhists,5010000
Maldives_buddhists,5000
Mali_buddhists,5000
Malta_buddhists,5000
Marshall Islands_buddhists,5000
Martinique_buddhists,5000
Mauritania_buddhists,5000
Mauritius_buddhists,5000
Mayotte_buddhists,5000
Mexico_buddhists,5000
Micronesia_buddhists,5000
Moldova_buddhists,5000
Monaco_buddhists,5000
Mongolia_buddhists,1520000
Montenegro_buddhists,5000
Montserrat_buddhists,5000
Morocco_buddhists,5000
Mozambique_buddhists,5000
Myanmar_buddhists,38410000
Namibia_buddhists,5000
Nauru_buddhists,5000
Nepal_buddhists,3080000
Netherlands_buddhists,40000
New Caledonia_buddhists,5000
New Zealand_buddhists,70000
Nicaragua_buddhists,5000
Niger_buddhists,5000
Nigeria_buddhists,10000
Niue_buddhists,5000
North Korea_buddhists,370000
Northern Mariana Islands_buddhists,5000
Norway_buddhists,30000
Oman_buddhists,20000
Pakistan_buddhists,20000
Palau_buddhists,5000
Palestine_buddhists,5000
Panama_buddhists,5000
Papua New Guinea_buddhists,5000
Paraguay_buddhists,5000
Peru_buddhists,50000
Philippines_buddhists,80000
Poland_buddhists,5000
Portugal_buddhists,20000
Puerto Rico_buddhists,10000
Qatar_buddhists,50000
Republic of the Congo_buddhists,5000
Reunion_buddhists,5000
Romania_buddhists,5000
Russia_buddhists,170000
Rwanda_buddhists,5000
Saint Kitts and Nevis_buddhists,5000
Saint Pierre and Miquelon_buddhists,5000
Saint Vincent and the Grenadines_buddhists,5000
Samoa_buddhists,5000
San Marino_buddhists,5000
Sao Tome and Principe_buddhists,5000
Saudi Arabia_buddhists,90000
Senegal_buddhists,5000
Serbia_buddhists,5000
Seychelles_buddhists,5000
Sierra Leone_buddhists,5000
Singapore_buddhists,1730000
Sint Maarten_buddhists,5000
Slovakia_buddhists,5000
Slovenia_buddhists,5000
Solomon Islands_buddhists,5000
Somalia_buddhists,5000
South Africa_buddhists,100000
South Korea_buddhists,11050000
South Sudan_buddhists,5000
Spain_buddhists,5000
Sri Lanka_buddhists,14450000
Sudan_buddhists,5000
Suriname_buddhists,5000
Sweden_buddhists,40000
Switzerland_buddhists,40000
Syria_buddhists,5000
Taiwan_buddhists,4950000
Tajikistan_buddhists,5000
Tanzania_buddhists,5000
Thailand_buddhists,64420000
Timor-Leste_buddhists,5000
Togo_buddhists,5000
Tokelau_buddhists,5000
Tonga_buddhists,5000
Trinidad and Tobago_buddhists,5000
Tunisia_buddhists,5000
Turkey_buddhists,40000
Turkmenistan_buddhists,5000
Turks and Caicos Islands_buddhists,5000
Tuvalu_buddhists,5000
Uganda_buddhists,5000
Ukraine_buddhists,20000
United Arab Emirates_buddhists,150000
United Kingdom_buddhists,280000
United States_buddhists,3570000
United States Virgin Islands_buddhists,5000
Uruguay_buddhists,5000
Uzbekistan_buddhists,10000
Vanuatu_buddhists,5000
Vatican City_buddhists,5000
Venezuela_buddhists,5000
Vietnam_buddhists,14380000
Wallis and Futuna_buddhists,5000
Western Sahara_buddhists,5000
Yemen_buddhists,5000
Zambia_buddhists,5000
Zimbabwe_buddhists,5000
Afghanistan_jews,5000
Albania_jews,5000
Algeria_jews,5000
American Samoa_jews,5000
Andorra_jews,5000
Angola_jews,5000
Anguilla_jews,5000
Antigua and Barbuda_jews,5000
Argentina_jews,200000
Armenia_jews,5000
Aruba_jews,5000
Australia_jews,110000
Austria_jews,10000
Azerbaijan_jews,5000
Bahamas_jews,5000
Bahrain_jews,5000
Bangladesh_jews,5000
Barbados_jews,5000
Belarus_jews,5000
Belgium_jews,30000
Belize_jews,5000
Benin_jews,5000
Bermuda_jews,5000
Bhutan_jews,5000
Bolivia_jews,5000
Bosnia and Herzegovina_jews,5000
Botswana_jews,5000
Brazil_jews,110000
British Virgin Islands_jews,5000
Brunei_jews,5000
Bulgaria_jews,5000
Burkina Faso_jews,5000
Burundi_jews,5000
Cambodia_jews,5000
Cameroon_jews,5000
Canada_jews,350000
Cape Verde_jews,5000
Cayman Islands_jews,5000
Central African Republic_jews,5000
Chad_jews,5000
Chile_jews,20000
China_jews,5000
Colombia_jews,5000
Comoros_jews,5000
Cook Islands_jews,5000
Costa Rica_jews,5000
Croatia_jews,5000
Cuba_jews,5000
Curacao_jews,5000
Cyprus_jews,5000
Czech Republic_jews,5000
Denmark_jews,5000
Djibouti_jews,5000
Dominica_jews,5000
Dominican Republic_jews,5000
DR Congo_jews,5000
Ecuador_jews,5000
Egypt_jews,5000
El Salvador_jews,5000
Equatorial Guinea_jews,5000
Eritrea_jews,5000
Estonia_jews,5000
Eswatini_jews,5000
Ethiopia_jews,5000
Falkland Islands_jews,5000
Faroe Islands_jews,5000
Fiji_jews,5000
Finland_jews,5000
France_jews,310000
French Guiana_jews,5000
French Polynesia_jews,5000
Gabon_jews,5000
Gambia_jews,5000
Georgia_jews,5000
Germany_jews,230000
Ghana_jews,5000
Gibraltar_jews,5000
Greece_jews,5000
Greenland_jews,5000
Grenada_jews,5000
Guadeloupe_jews,5000
Guam_jews,5000
Guatemala_jews,5000
Guinea_jews,5000
Guinea-Bissau_jews,5000
Guyana_jews,5000
Haiti_jews,5000
Honduras_jews,5000
Hong Kong_jews,5000
Hungary_jews,10000
Iceland_jews,5000
India_jews,10000
Indonesia_jews,5000
Iran_jews,5000
Iraq_jews,5000
Ireland_jews,5000
Isle of Man_jews,5000
Israel_jews,5610000
Italy_jews,50000
Ivory Coast_jews,5000
Jamaica_jews,5000
Japan_jews,5000
Jordan_jews,5000
Kazakhstan_jews,5000
Kenya_jews,5000
Kiribati_jews,5000
Kuwait_jews,5000
Kyrgyzstan_jews,5000
Laos_jews,5000
Latvia_jews,5000
Lebanon_jews,5000
Lesotho_jews,5000
Liberia_jews,5000
Libya_jews,5000
Liechtenstein_jews,5000
Lithuania_jews,5000
Luxembourg_jews,5000
Macau_jews,5000
Madagascar_jews,5000
Malawi_jews,5000
Malaysia_jews,5000
Maldives_jews,5000
Mali_jews,5000
Malta_jews,5000
Marshall Islands_jews,5000
Martinique_jews,5000
Mauritania_jews,5000
Mauritius_jews,5000
Mayotte_jews,5000
Mexico_jews,70000
Micronesia_jews,5000
Moldova_jews,20000
Monaco_jews,5000
Mongolia_jews,5000
Montenegro_jews,5000
Montserrat_jews,5000
Morocco_jews,5000
Mozambique_jews,5000
Myanmar_jews,5000
Namibia_jews,5000
Nauru_jews,5000
Nepal_jews,5000
Netherlands_jews,30000
New Caledonia_jews,5000
New Zealand_jews,5000
Nicaragua_jews,5000
Niger_jews,5000
Nigeria_jews,5000
Niue_jews,5000
North Korea_jews,5000
Northern Mariana Islands_jews,5000
Norway_jews,5000
Oman_jews,5000
Pakistan_jews,5000
Palau_jews,5000
Palestine_jews,5000
Panama_jews,10000
Papua New Guinea_jews,5000
Paraguay_jews,5000
Peru_jews,5000
Philippines_jews,5000
Poland_jews,10000
Portugal_jews,5000
Puerto Rico_jews,5000
